Hechos_Id,Pos X,Pos Y,Calle,Barrio_Id
2016-0001,-58.47533969,-34.68757022,PIEDRA BUENA AV.,8-1
2016-0002,-58.50877521,-34.66977709,"PAZ, GRAL. AV.",0-1
2016-0003,-58.39040293,-34.63189362,ENTRE RIOS AV.,1-1
2016-0004,-58.46503904,-34.68092974,LARRAZABAL AV.,8-2
2016-0005,-58.38718297,-34.6224663,SAN JUAN AV.,1-1
2016-0008,-58.44451316,-34.68475866,27 DE FEBRERO AV.,8-3
2016-0009,-58.50095869,-34.6082544,NOGOYA,11-1
2016-0010,-58.50877521,-34.66977709,"PAZ, GRAL. AV.",0-1
2016-0012,-58.38048577,-34.61303893,BELGRANO AV.,1-2
2016-0013,-58.39114932,-34.62477387,ENTRE RIOS AV.,1-1
2016-0015,-58.4376002,-34.59912758,"SCALABRINI ORTIZ, RAUL AV.",15-1
2016-0016,-58.36882665,-34.64291993,REGIMIENTO DE PATRICIOS AV.,4-1
2016-0017,-58.44989671,-34.65970435,"ACOSTA, MARIANO",8-3
2016-0019,-58.50990884,-34.65468721,"DE LA TORRE, LISANDRO",9-1
2016-0020,-58.37952223,-34.60653282,SUIPACHA,1-3
2016-0021,-58.45157703,-34.63063795,DIRECTORIO AV.,7-1
2016-0022,-58.38144696,-34.61079875,9 DE JULIO AV.,1-2
2016-0025,-58.46244952,-34.70524971,"PAZ, GRAL. AV.",0-1
2016-0026,-58.49216191,-34.54738649,HOLMBERG,12-1
2016-0027,-58.44497874,-34.63852623,CURAPALIGUE AV.,7-2
2016-0028,-58.38199706,-34.60028648,VIAMONTE,1-3
2016-0029,-58.47378664,-34.54153077,CABILDO AV.,13-1
2016-0031,-58.47064556,-34.69843756,"PAZ, GRAL. AV.",8-1
2016-0034,-58.40623949,-34.65076549,"ALCORTA, AMANCIO AV.",4-2
2016-0035,-58.39228965,-34.60443527,CORRIENTES AV.,1-3
2016-0036,-58.37813396,-34.63668504,HERRERA,4-1
2016-0037,-58.46275892,-34.64358293,LAFUENTE AV.,7-1
2016-0038,-58.49683458,-34.67892743,"PAZ, GRAL. AV.",0-1
2016-0039,-58.40603217,-34.6088396,"MITRE, BARTOLOME",3-1
2016-0041,-58.4607655,-34.63350444,DIRECTORIO AV.,7-1
2016-0041,-58.4607655,-34.63350444,DIRECTORIO AV.,7-1
2016-0043,-58.47832463,-34.67494416,"DELLEPIANE, LUIS, TTE. GRAL.",8-2
2016-0044,-58.43213235,-34.63693953,"MORENO, JOSE MARIA AV.",7-2
2016-0045,-58.46743471,-34.53476874,"PAZ, GRAL. AV.",0-1
2016-0047,-58.38247061,-34.62571878,LIMA,1-1
2016-0048,-58.44759966,-34.5917024,CORRIENTES AV.,15-2
2016-0049,-58.37714647568196,-34.63657525428238,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4-1
2016-0050,-58.47305463,-34.68550712,"GORDILLO, TIMOTEO",8-1
2016-0051,-58.40623949,-34.65076549,"ALCORTA, AMANCIO AV.",4-2
2016-0052,0.0,0.0,"LUGONES, LEOPOLDO AV.",0-1
2016-0053,-58.4842918,-34.57558053,TRIUNVIRATO AV.,12-3
2016-0054,-58.48695354,-34.68795245,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,0-1
2016-0055,-58.40021959,-34.57964781,"CASTILLA, RAMON, MARISCAL",14-1
2016-0056,-58.42957885,-34.57660058,"CAMPOS, LUIS M. AV.",14-1
2016-0058,-58.38247542,-34.62556293,LIMA,1-1
2016-0059,-58.38222219,-34.62728101,CIUDADELA,1-1
2016-0064,-58.49485242,-34.62953445,"JUSTO, JUAN B. AV.",10-1
2016-0065,-58.45227946,-34.61068024,GAONA AV.,6-1
2016-0067,-58.48455411,-34.6751276,"DE LA TORRE, LISANDRO",8-2
2016-0068,-58.39056593,-34.58418569,"FIGUEROA ALCORTA, PRES. AV.",2-1
2016-0069,-58.39118948,-34.62704273,ENTRE RIOS AV.,1-1
2016-0073,-58.49021952,-34.62025108,"MAGARI?OS CERVANTES, A.",10-2
2016-0074,-58.49896559,-34.67732118,"PAZ, GRAL. AV.",0-1
2016-0075,-58.47461076,-34.66874679,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8-2
2016-0076,-58.46210891,-34.60356211,SAN MARTIN AV.,15-3
2016-0077,-58.3702777,-34.60536123,"PERON, JUAN DOMINGO, TTE. GENERAL",1-3
2016-0078,-58.40491455,-34.6146383,BELGRANO AV.,3-1
2016-0079,-58.45504154,-34.54864492,DEL LIBERTADOR AV.,13-1
2016-0080,-58.52927982,-34.63931752,"PAZ, GRAL. AV.",9-2
2016-0081,-58.4872106,-34.55904606,"LARRALDE, CRISOLOGO AV.",12-1
2016-0082,-58.42273092,-34.64228803,LA PLATA AV.,4-2
2016-0083,-58.44788671,-34.62539009,"ALBERDI, JUAN BAUTISTA AV.",6-1
2016-0084,-58.38110563,-34.60135531,"PELLEGRINI, CARLOS",1-3
2016-0085,-58.42378834,-34.657341,"RABANAL, FRANCISCO, INTENDENTE AV.",4-2
2016-0086,-58.48727942,-34.63652467,OLIVERA AV.,10-1
2016-0087,-58.37864583,-34.62907067,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4-1
2016-0088,-58.5015175,-34.56767549,CERETTI,12-3
2016-0089,-58.43233425,-34.55185825,"LUGONES, LEOPOLDO AV.",13-2
2016-0090,-58.41971993,-34.6111224,"SALGUERO, JERONIMO",5-1
2016-0092,-58.46743471,-34.53476874,"PAZ, GRAL. AV.",0-1
2016-0093,-58.44362126,-34.62301748,"ALBERDI, JUAN BAUTISTA AV.",6-1
2016-0095,-58.51713095,-34.59546519,MERCEDES,11-1
2016-0096,-58.47433193007387,-34.66684950051973,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8-2
2016-0097,-58.39038605,-34.6156281,SOLIS,1-2
2016-0098,-58.40042405,-34.62356174,SAN JUAN AV.,3-2
2016-0099,-58.52340614,-34.59798754,MOSCONI GENERAL AV.,0-1
2016-0100,-58.49491054,-34.54795581,"PAZ, GRAL. AV.",12-1
2016-0101,-58.52932872,-34.65014993,"PAZ, GRAL. AV.",9-2
2016-0102,-58.50011639,-34.67316502,"PERON, EVA AV.",9-1
2016-0104,-58.46635001,-34.65624369,ZINNY,9-3
2016-0105,-58.45343236,-34.58435809,"LACROZE, FEDERICO AV.",15-2
2016-0106,-58.38090932,-34.58927731,"PELLEGRINI, CARLOS",1-4
2016-0107,-58.37157668,-34.65429986,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4-1
2016-0109,-58.52280139,-34.63659934,AUTOPISTA PERITO MORENO,9-2
2016-0110,-58.51232237,-34.6590353,"ALBERDI, JUAN BAUTISTA AV.",9-1
2016-0111,-58.47461905,-34.57663634,LUGONES,12-3
2016-0112,-58.38268809,-34.62282019,AUTOPISTA 25 DE MAYO,1-1
2016-0113,-58.49603546,-34.64564271,"ALBERDI, JUAN BAUTISTA AV.",9-1
2016-0114,-58.41848605,-34.59394733,"SALGUERO, JERONIMO",14-1
2016-0115,-58.48935041,-34.54917673,ARIAS,12-1
2016-0116,-58.44451316,-34.68475866,27 DE FEBRERO AV.,8-3
2016-0117,-58.39936478,-34.58271474,DEL LIBERTADOR AV.,2-1
2016-0118,-58.37936704,-34.62694503,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1-1
2016-0119,-58.49659234,-34.56353635,"LARRALDE, CRISOLOGO AV.",12-3
2016-0122,-58.47256391,-34.65194557,"PERON, EVA AV.",9-3
2016-0123,-58.45130953,-34.64053676,ASAMBLEA AV.,7-1
2016-0124,-58.46271207,-34.62884871,RIVADAVIA AV.,7-1
2016-0125,-58.49020869,-34.64243791,AUTOPISTA PERITO MORENO,10-3
2016-0126,-58.52572109,-34.62125906,IRIGOYEN,10-4
2016-0126,-58.52572109,-34.62125906,IRIGOYEN,10-4
2016-0127,-58.44094791,-34.66677111,"ACOSTA, MARIANO",8-3
2016-0128,-58.41914024,-34.6305389,CASTRO,5-2
2016-0130,-58.37910942,-34.62764717,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1-1
2016-0131,-58.39871183,-34.64539318,MIRAVE,4-1
2016-0132,-58.41036975,-34.62477021,SAN JUAN AV.,3-2
2016-0133,-58.40204698,-34.5834269,LAS HERAS GENERAL AV.,14-1
2016-0134,-58.48935287,-34.67648597,PIEDRA BUENA AV.,8-2
2016-0135,-58.42260225,-34.56403694,"FIGUEROA ALCORTA, PRES. AV.",14-1
2016-0136,-58.353722,-34.635364,AUTOPISTA BUENOS AIRES - LA PLATA,4-3
2016-0137,-58.51537091,-34.59035925,SAN MARTIN AV.,11-1
2016-0138,-58.4590967,-34.55922742,CABILDO AV.,13-2
2016-0139,-58.42008769,-34.56539579,"FIGUEROA ALCORTA, PRES. AV.",14-1
2016-0140,-58.45566399,-34.56147293,JURAMENTO AV.,13-2
2016-0142,-58.37533517,-34.59276462,DEL LIBERTADOR AV.,1-4
2016-0143,-58.44451316,-34.68475866,27 DE FEBRERO AV.,8-3
2016-0144,-58.35975012,-34.63343907,"BROWN, ALTE. AV.",4-3
2016-0145,-58.44523595,-34.55953855,DEL LIBERTADOR AV.,13-2
2016-0146,-58.39626094,-34.63036565,PICHINCHA AV.,4-4
2016-0147,-58.38896772,-34.61799615,INDEPENDENCIA AV.,1-1
2016-0148,-58.46536113,-34.59484504,GARMENDIA AV.,15-3
2016-0150,-58.40879146,-34.65273216,"ALCORTA, AMANCIO AV.",4-2
2016-0152,-58.46451841,-34.64991946,"MORENO, PERITO AV.",7-1
2016-0153,-58.4291709,-34.59485488,ARAOZ,14-1
2016-0154,-58.49007772,-34.68251141,"PAZ, GRAL. AV.",8-2
2016-0155,-58.52756365,-34.62772274,MADERO,10-5
2016-0156,-58.40638983,-34.61943202,INDEPENDENCIA AV.,3-2
2016-0157,-58.47576807,-34.61740997,"JUSTO, JUAN B. AV.",11-2
2016-0159,-58.44451316,-34.68475866,27 DE FEBRERO AV.,8-3
2016-0160,-58.51927194,-34.63635787,AUTOPISTA PERITO MORENO,9-2
2016-0161,-58.42525456,-34.57866344,SANTA FE AV.,14-1
2016-0162,-58.45396573,-34.58518167,"LACROZE, FEDERICO AV.",15-2
2016-0163,-58.52340614,-34.59798754,"PAZ, GRAL. AV.",0-1
2016-0164,-58.42323628,-34.64119105,LA PLATA AV.,4-2
2016-0165,-58.36926144,-34.62841919,"GARCIA, MARTIN AV.",4-3
2016-0168,-58.42323628,-34.64119105,LA PLATA AV.,4-2
2016-0169,-58.47935434,-34.55676497,NU?EZ,12-1
2016-0170,-58.50598256,-34.5637998,"PAZ, GRAL. AV.",12-1
2016-0171,-58.36607137,-34.62150748,"HUERGO, ING. AV.",1-5
2016-0172,-58.41918902,-34.63174259,"GARAY, JUAN DE AV.",5-2
2016-0173,-58.46749188,-34.63551751,DIRECTORIO AV.,7-1
2016-0174,0.0,0.0,AUTOPISTA 25 DE MAYO,0-1
2016-0175,-58.46064174,-34.62960517,"FALCON, RAMON L.,CNEL.",7-1
2016-0176,-58.36956186,-34.61232875,BELGRANO AV.,1-2
2016-0177,-58.40966671,-34.58788235,ARENALES,14-1
2016-0178,-58.40288226,-34.61544091,REPUBLICA BOLIVARIANA DE VENEZUELA,3-1
2017-0001,-58.4659423,-34.61028571,"JUSTO, JUAN B. AV.",11-3
2017-0003,-58.38957669,-34.64410277,OLAVARRIA,4-1
2017-0007,-58.3816166,-34.61529543,LIMA,1-2
2017-0008,-58.43917004,-34.58494351,"CABRERA, JOSE A.",14-1
2017-0009,-58.41595919,-34.62743346,AUTOPISTA 25 DE MAYO,5-2
2017-0010,-58.4356488,-34.62828656,DIRECTORIO AV.,7-2
2017-0011,-58.5007381,-34.5497951,"PAZ, GRAL. AV.",0-1
2017-0012,-58.40969005,-34.6505529,TRAFUL,4-2
2017-0013,-58.38972622,-34.65098981,"IRIARTE, GRAL. AV.",4-1
2017-0014,-58.49185972,-34.55046754,DONADO,12-1
2017-0015,-58.39293417,-34.59963642,CORDOBA AV.,3-1
2017-0016,-58.38099494,-34.62288231,AUTOPISTA 25 DE MAYO,1-1
2017-0017,-58.429012,-34.58095431,"JUSTO, JUAN B. AV.",14-1
2017-0018,-58.50877521,-34.66977709,"PAZ, GRAL. AV.",0-1
2017-0021,-58.38362373,-34.60509972,SARMIENTO,1-3
2017-0024,-58.46589308,-34.62955795,RIVADAVIA AV.,7-1
2017-0025,-58.43614426,-34.6542464,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",7-1
2017-0026,-58.41842777,-34.64979057,"MORENO, PERITO AV.",4-2
2017-0026,-58.41842777,-34.64979057,"MORENO, PERITO AV.",4-2
2017-0027,-58.38332245,-34.6319325,CASEROS AV.,1-1
2017-0028,-58.45475488,-34.61196327,GAONA AV.,6-1
2017-0029,-58.48501341,-34.64742455,MOZART,9-3
2017-0030,-58.47010988,-34.65872088,MOZART,9-3
2017-0031,-58.4099756,-34.62873635,24 DE NOVIEMBRE,3-2
2017-0032,-58.48892175,-34.68359163,"PAZ, GRAL. AV.",8-2
2017-0033,-58.52466448,-34.60325478,"PAZ, GRAL. AV.",11-1
2017-0034,-58.42554218,-34.57929036,GODOY CRUZ,14-1
2017-0035,-58.35881506,-34.61113641,"ACHAVAL RODRIGUEZ, T., DR. AV.",1-6
2017-0035,-58.35881506,-34.61113641,"ACHAVAL RODRIGUEZ, T., DR. AV.",1-6
2017-0035,-58.35881506,-34.61113641,"ACHAVAL RODRIGUEZ, T., DR. AV.",1-6
2017-0036,-58.51452347,-34.58159762,"PAZ, GRAL. AV.",12-4
2017-0036,-58.51452347,-34.58159762,"PAZ, GRAL. AV.",12-4
2017-0037,-58.38896772,-34.61799615,INDEPENDENCIA AV.,1-1
2017-0038,-58.44516857,-34.64363363,CASTA?ARES AV.,7-1
2017-0040,-58.43834197,-34.54560369,"GUIRALDES, INT.",13-2
2017-0041,-58.45485084,-34.63531854,"FERNANDEZ MORENO, BALDOMERO",7-1
2017-0042,-58.43854389,-34.54824546,"LUGONES, LEOPOLDO AV.",13-2
2017-0045,-58.52449285,-34.62454175,NOGOYA,10-5
2017-0047,-58.46713742,-34.6719879,ARGENTINA AV.,8-2
2017-0049,-58.43850413,-34.65554754,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8-3
2017-0050,-58.49253465,-34.64061318,AUTOPISTA PERITO MORENO,10-3
2017-0050,-58.49253465,-34.64061318,AUTOPISTA PERITO MORENO,10-3
2017-0051,-58.47557813,-34.66931534,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8-2
2017-0052,-58.49413799,-34.68095739,"PAZ, GRAL. AV.",0-1
2017-0053,-58.37547846,-34.65326075,VIEYTES,4-1
2017-0054,-58.48680218,-34.58689719,DE LOS CONSTITUYENTES AV.,15-4
2017-0055,-58.49563989,-34.57962262,DE LOS CONSTITUYENTES AV.,12-4
2017-0058,-58.38403232,-34.5991594,CORDOBA AV.,1-4
2017-0059,-58.38223382,-34.62693865,BRASIL,1-1
2017-0060,-58.45966521,-34.67323292,ESCALADA AV.,8-3
2017-0061,-58.39303911,-34.59871111,PARAGUAY,2-1
2017-0062,-58.51262106,-34.63395999,"JUSTO, JUAN B. AV.",10-5
2017-0063,-58.38118367,-34.61646839,CHILE,1-2
2017-0064,-58.37653284,-34.60582475,MAIPU,1-3
2017-0065,-58.37709334,-34.64035082,SUAREZ AV.,4-1
2017-0066,-58.46002142,-34.60409469,SAN MARTIN AV.,15-3
2017-0067,-58.4338197,-34.62801894,DIRECTORIO AV.,7-2
2017-0068,-58.43580656,-34.66437532,"RABANAL, FRANCISCO, INTENDENTE AV.",8-3
2017-0069,-58.52173071,-34.65997463,"PAZ, GRAL. AV.",0-1
2017-0070,-58.50791763,-34.59804273,NUEVA YORK,11-1
2017-0072,-58.49175088,-34.58226957,DE LOS CONSTITUYENTES AV.,12-3
2017-0073,-58.40781467,-34.60425669,CORRIENTES AV.,3-1
2017-0074,-58.52567073,-34.63787791,CASCO,9-2
2017-0075,-58.381542,-34.60906385,DE MAYO AV.,1-2
2017-0076,-58.38526125,-34.5780581,"CASTILLO, RAMON S., PRES. AV.",2-1
2017-0077,-58.42934104,-34.58451712,FRAY JUSTO SANTAMARIA DE ORO,14-1
2017-0079,-58.40657493,-34.61781124,MEXICO,3-1
2017-0080,-58.49525314,-34.64487785,"ALBERDI, JUAN BAUTISTA AV.",9-1
2017-0082,-58.39092851,-34.62932696,ENTRE RIOS AV.,1-1
2017-0083,-58.49603546,-34.64564271,"ALBERDI, JUAN BAUTISTA AV.",9-1
2017-0084,-58.38502878,-34.58703485,DEL LIBERTADOR AV.,2-1
2017-0085,-58.37261143,-34.63150425,TACUARI,4-1
2017-0086,-58.51876802,-34.63905965,RIVADAVIA AV.,9-2
2017-0087,-58.41095567,-34.61516101,24 DE NOVIEMBRE,3-1
2017-0088,-58.36797542,-34.62519403,PASEO COLON AV.,1-5
2017-0089,-58.51514709,-34.64787051,"LEGUIZAMON, MARTINIANO",9-2
2017-0090,-58.51925642,-34.59171721,CHIVILCOY AV.,11-1
2017-0091,-58.48671535,-34.54321216,SUPERI,0-1
2017-0092,-58.38268809,-34.62282019,AUTOPISTA 25 DE MAYO,1-1
2017-0093,-58.43633522,-34.54966288,"LUGONES, LEOPOLDO AV.",13-2
2017-0094,-58.52640838,-34.61765855,"HUGO, VICTOR",10-4
2017-0095,-58.41894306,-34.59778875,CORDOBA AV.,14-1
2017-0096,-58.46756026,-34.54972741,CABILDO AV.,13-1
2017-0098,-58.45715752,-34.63132912,"BONIFACIO, JOSE",7-1
2017-0099,-58.42406784,-34.56213916,"FIGUEROA ALCORTA, PRES. AV.",14-1
2017-0100,-58.3967447,-34.61512051,REPUBLICA BOLIVARIANA DE VENEZUELA,3-1
2017-0101,-58.44537508,-34.57084818,"LACROZE, FEDERICO AV.",13-3
2017-0102,-58.40056767,-34.6510708,"IRIARTE, GRAL. AV.",4-1
2017-0104,-58.38109568,-34.61853244,9 DE JULIO AV.,1-1
